,0
0,-0.1187504
1,-0.1194924
2,-0.1175262
3,-0.1146203
4,-0.1130265
5,-0.1141092
6,-0.1185202
7,-0.1256859
8,-0.1341455
9,-0.1428377
10,-0.1510385
11,-0.1592517
12,-0.1688705
13,-0.1793194
14,-0.1885868
15,-0.1962944
16,-0.2032885
17,-0.2100779
18,-0.2188361
19,-0.228304
20,-0.2339415
21,-0.235109
22,-0.2327785
23,-0.2286374
24,-0.224509
25,-0.2201305
26,-0.2188692
27,-0.2203494
28,-0.2230683
29,-0.2265744
30,-0.2312104
31,-0.2359004
32,-0.2385589
33,-0.2393116
34,-0.239918
35,-0.2413585
36,-0.2439982
37,-0.2475341
38,-0.2511798
39,-0.2542503
40,-0.2564201
41,-0.2595949
42,-0.2619423
43,-0.2641233
44,-0.2669821
45,-0.270557
46,-0.2742879
47,-0.2773283
48,-0.2786548
49,-0.2779747
50,-0.27555
51,-0.2725618
52,-0.2708276
53,-0.2715618
54,-0.2755506
55,-0.2851766
56,-0.2990698
57,-0.3151746
58,-0.3310038
59,-0.3456534
60,-0.3594265
61,-0.3731322
62,-0.3879222
63,-0.4043722
64,-0.4226081
65,-0.4420877
66,-0.4617944
67,-0.4805028
68,-0.4968805
69,-0.5101661
70,-0.5200529
71,-0.5270919
72,-0.5324507
73,-0.5370885
74,-0.541773
75,-0.5448557
76,-0.542963
77,-0.5337617
78,-0.5205225
79,-0.5037885
80,-0.4870856
81,-0.4725525
82,-0.4598115
83,-0.4480975
84,-0.4363907
85,-0.4234301
86,-0.4078272
87,-0.389846
88,-0.3709668
89,-0.3522857
90,-0.3345731
91,-0.3177854
92,-0.3008066
93,-0.2860152
94,-0.2741967
95,-0.2653639
96,-0.2589549
97,-0.2536727
98,-0.2477251
99,-0.2401964
100,-0.2308568
101,-0.2183695
102,-0.2006317
103,-0.1760918
104,-0.1461187
105,-0.112684
106,-0.07747278
107,-0.03962261
108,0.00358078
109,0.05439907
110,0.1127426
111,0.181285
112,0.2626166
113,0.3563264
114,0.4606608
115,0.5748567
116,0.6989022
117,0.8312145
118,0.9690971
119,1.111796
120,1.260022
121,1.414091
122,1.574006
123,1.738509
124,1.905447
125,2.073621
126,2.242586
127,2.409786
128,2.571181
129,2.722651
130,2.860174
131,2.981475
132,3.086808
133,3.177292
134,3.253181
